step,joint_pos,eef_pos,reward,done
0,"[0.00735248056790088, 0.22344155641603805, -0.04911833405044642, -2.5882077955885694, -0.09759948908550121, 2.9217662648417853, 0.8050543508499516]","[-0.09811010471492845, -0.015877515972260364, 1.0057260812468438]",0.0,False
1,"[0.006760824943383841, 0.2334772314413912, -0.11716726266233676, -2.576546079428873, -0.27908533393172996, 2.9107793154386923, 0.8607384629875735]","[-0.09857183505587108, -0.04454334808113126, 1.0036233027409747]",0.0,False
2,"[0.01717577865820512, 0.237704084792113, -0.17557971372257117, -2.557089230351034, -0.4637425079796025, 2.8982929564378805, 0.9536306747690254]","[-0.09634052541367932, -0.06466470046276117, 1.0059744257498076]",0.0,False
3,"[0.03873381088899855, 0.2609637970288608, -0.19255438038486483, -2.56982141025577, -0.5714057610965128, 2.9212796109650863, 1.0475416788721932]","[-0.10439516234461622, -0.05843853243261693, 0.994183296947929]",0.0,False
4,"[0.05270228007089068, 0.28239468109454524, -0.20906943940716713, -2.5893477112679357, -0.6416246512216744, 2.967935312437478, 1.1348420404792274]","[-0.11480828686994642, -0.050409212523457265, 0.9818411757223721]",0.0,False
5,"[0.062284099378613914, 0.3069255529571815, -0.2225078234728193, -2.6195905932279873, -0.6913425624150944, 3.0362695915908007, 1.209961951561896]","[-0.1268114235257442, -0.042032062240202936, 0.9694629792988266]",0.0,False
6,"[0.07219332806162158, 0.32611409142101394, -0.25061746164567456, -2.640795376313355, -0.7587708859246183, 3.1002570078456815, 1.2517146128728198]","[-0.13769463536737933, -0.03777463771277692, 0.9609480192516903]",0.0,False
7,"[0.09377096376631211, 0.3452828537886427, -0.30112506195204647, -2.611195534553506, -0.8563538694275707, 3.1253283884603698, 1.2857860362892344]","[-0.1288520513443547, -0.04645914715645269, 0.9620805042804366]",0.0,False
8,"[0.11841009389974448, 0.3494451360612151, -0.34151265308853296, -2.619727341252968, -0.9254982952327571, 3.1278541827336146, 1.3410843939054116]","[-0.1368260077753612, -0.05109690243163395, 0.9588053227669474]",0.0,False
9,"[0.13886448317681693, 0.34009691694996946, -0.3826174160938768, -2.644510758809592, -0.9726107873058358, 3.1377560425234456, 1.4009055213969404]","[-0.15024527622944145, -0.055380024117549845, 0.9578645110052957]",0.0,False
10,"[0.15510281935468023, 0.3570389677708694, -0.4110311751308163, -2.670871036306475, -1.003763235613201, 3.151484683416799, 1.4589699277245547]","[-0.16924407371823622, -0.05676002318128267, 0.9478444935777723]",0.0,False
11,"[0.17249732261742023, 0.3888599985978578, -0.43758042202539627, -2.6687832119331016, -1.0352399994085182, 3.1482697869516043, 1.4993166342193396]","[-0.18067162219895852, -0.06242030815576728, 0.9365859825817835]",0.0,False
12,"[0.18949366061815026, 0.4253042519364232, -0.44425197543997696, -2.6808579241958874, -1.06740202715055, 3.150376213581465, 1.5161259469024149]","[-0.19912184856611553, -0.05867293015868266, 0.9218763496850176]",0.0,False
13,"[0.20474410142407232, 0.4525145580550662, -0.46441917260576066, -2.683574402977663, -1.0861633075840968, 3.1764127948914656, 1.5379575394952547]","[-0.20792303771588072, -0.05787653882019761, 0.9141299446646929]",0.0,False
14,"[0.2314642766702383, 0.4597467866554961, -0.5178120787807694, -2.6503727776063073, -1.1191749572407492, 3.188091149902185, 1.5558476016226745]","[-0.1931781107943935, -0.07218071793834735, 0.9201477672992385]",0.0,False
15,"[0.26116718280729756, 0.4885853047652453, -0.5551406692298259, -2.6104427970964443, -1.146835756145185, 3.176388079160732, 1.5825429330907903]","[-0.18131137446322365, -0.08582241664073356, 0.9197239615006338]",0.0,False
16,"[0.29764341695782487, 0.5236422218013053, -0.5786367116128619, -2.561375319370425, -1.1980793879308016, 3.1491139548895455, 1.6184695430544347]","[-0.1695076033034461, -0.09316219441780679, 0.9158979891097917]",0.0,False
17,"[0.3301668031288869, 0.5351874136882196, -0.5757534867686859, -2.54018915692322, -1.2186449000007518, 3.124168253451531, 1.6664407588158479]","[-0.1618239230137226, -0.08604201619823212, 0.914273299965207]",0.0,False
18,"[0.3502381649072092, 0.557265983961021, -0.5683273252307206, -2.542559436502688, -1.2002193924697535, 3.104730922912862, 1.7247374801261686]","[-0.1682066193036764, -0.08063373122238884, 0.9054509462361243]",0.0,False
19,"[0.36483849423512954, 0.5840214518120974, -0.5608271993307534, -2.539053387252174, -1.20486708300464, 3.0899446760640092, 1.766942854622752]","[-0.17568163091284048, -0.07760927378757865, 0.8956206257935708]",0.0,False
20,"[0.3843267846806063, 0.6026840191163806, -0.5775051992215521, -2.500349694359529, -1.2405413238962337, 3.071407292017842, 1.7970867567359277]","[-0.16303254588206367, -0.08332698551911888, 0.8961370715241678]",0.0,False
21,"[0.3984441299960218, 0.6334768820993751, -0.5919415865734085, -2.4669775995638714, -1.2681179818549486, 3.048705989117348, 1.8453676150824843]","[-0.154395127207898, -0.09354564756374029, 0.893330151805948]",0.0,False
22,"[0.4158012814122283, 0.6556342910175559, -0.6051538928320616, -2.4336740693661563, -1.3161127908771169, 3.017416175069799, 1.8946011169482406]","[-0.14659308550365138, -0.10183441394154728, 0.8922275165827587]",0.0,False
23,"[0.4230507495601012, 0.6712160852610722, -0.5886182414129397, -2.4266592836965195, -1.339879037768158, 2.99103346563207, 1.946632772799594]","[-0.1482579419375063, -0.09829029797782647, 0.8862706735293836]",0.0,False
24,"[0.415975650889615, 0.6765935944379258, -0.5661450885628826, -2.431860439781396, -1.3268116669724752, 2.9681562198432685, 2.0076020890869413]","[-0.15566201539382235, -0.09488701007812975, 0.8801250436294823]",0.0,False
25,"[0.3946834345926685, 0.6907100165938331, -0.5335989248503652, -2.4411574716393316, -1.2992596164279617, 2.957272460896722, 2.049435915420921]","[-0.16720561998715988, -0.09159208288088022, 0.8700030678121001]",0.0,False
26,"[0.3783893282170179, 0.6916410699727911, -0.5115025596881053, -2.4552645382128198, -1.3115504083304974, 2.9443520322895926, 2.0668032103036165]","[-0.17936328335532098, -0.08921225241120852, 0.8641990595050232]",0.0,False
27,"[0.3712128990341008, 0.6865301706469339, -0.4854647396372595, -2.441619789373254, -1.3423945309419132, 2.9241438723330364, 2.093110394188701]","[-0.17413728640234855, -0.08185302669471615, 0.8642689125496784]",0.0,False
28,"[0.36283181679549287, 0.7146254181902324, -0.45452520574813476, -2.408694692372221, -1.3921206036104814, 2.9038377508215794, 2.128359756159992]","[-0.1683789724125243, -0.07498681973423549, 0.8554556427916936]",0.0,False
29,"[0.3526264355503499, 0.7427062328620081, -0.4449488095625839, -2.4128097519215568, -1.4471809885513518, 2.870296226115023, 2.156108887146119]","[-0.18418047005562874, -0.08427931425513091, 0.8448608843068893]",0.0,False
30,"[0.33929081401924865, 0.7410538869616021, -0.4309039623220903, -2.4535285124873583, -1.4707620159426378, 2.840836933063219, 2.1662983177340918]","[-0.2108599178898591, -0.09000786491152707, 0.8405929241060685]",0.0,False
31,"[0.3234664286232908, 0.7418694852533532, -0.4061131679922098, -2.4580262702433493, -1.5011141688830119, 2.8315718974681023, 2.16185902612097]","[-0.21811533007025763, -0.08510052118194911, 0.8372329441683923]",0.0,False
32,"[0.3107418924322444, 0.7352369930101925, -0.38423257347846324, -2.4602199199067973, -1.5474767503363893, 2.8402315850117796, 2.1711553172248754]","[-0.21882789894653795, -0.07575943067919291, 0.8357347598860997]",0.0,False
33,"[0.30630683930884034, 0.6998202286762492, -0.3672258285868553, -2.4769331675952833, -1.6184208571404866, 2.8394419892503686, 2.186253097834847]","[-0.21808200017804114, -0.06484982150288865, 0.8431118223860502]",0.0,False
34,"[0.29717333628921067, 0.6806663880495654, -0.355770037250004, -2.4952051911271322, -1.6555484931729345, 2.815343759837459, 2.21533522311839]","[-0.22265168387429252, -0.0651678054337465, 0.8474659143017038]",0.0,False
